family,split,regime,index,truth_seed,contrast_fraction,peak_fraction_of_background,min_total,min_background,zero_mean_max_abs,azimuthal_mean_max_abs,positivity_scale
circular_hotspot_trajectory,selection,oracle_known,0,7730451268865837719,0.048860884059622224,0.7899054182410186,0.19204529590020994,0.26762685010903714,3.1357490579601685e-18,4.683753385137379e-17,1.0
circular_hotspot_trajectory,selection,oracle_known,1,8497157164746860744,0.10077695347277595,0.5934650821707628,0.1911453375144786,0.1911453375144786,4.512991542970912e-18,6.071532165918825e-17,1.0
circular_hotspot_trajectory,selection,oracle_known,2,6028530031131473541,0.09974537438399211,0.6879911177212572,0.40659506927663447,0.40659506927663447,8.69587781183186e-18,1.1102230246251565e-16,1.0
circular_hotspot_trajectory,selection,oracle_known,3,4852923277069843527,0.030583770195369682,0.6733642920906489,0.284538402984557,0.4079184902384311,3.001884765065937e-18,4.336808689942018e-17,1.0
circular_hotspot_trajectory,selection,oracle_known,4,2694870209708393951,0.04947954495952675,0.7012127943529585,0.21741460592922118,0.21741460592922118,4.22079495537705e-18,5.2909066017292616e-17,1.0
circular_hotspot_trajectory,selection,oracle_known,5,6771220208772450107,0.016250337197343704,0.5728818737468633,0.19538602860084697,0.19538602860095888,1.3823722455797378e-18,2.0383000842727483e-17,1.0
circular_hotspot_trajectory,selection,oracle_known,6,8430421313386786920,0.02174324543832383,0.4974428755067805,0.18656162875860594,0.1930786552210031,7.792704148715329e-19,1.734723475976807e-17,1.0
circular_hotspot_trajectory,selection,oracle_known,7,7701346100861936227,0.024188191767207663,0.34533021663960717,0.31998193093953986,0.3199819310126256,2.105724023196267e-18,2.949029909160572e-17,1.0
circular_hotspot_trajectory,pilot,oracle_known,0,5809286653534273400,0.11584983780239778,0.6957985206365286,0.4157400306869983,0.4157400306869983,1.1385816876992305e-17,1.231653667943533e-16,1.0
circular_hotspot_trajectory,pilot,oracle_known,1,7746487538076232313,0.02600182318551863,0.7011316700811586,0.19714779111317865,0.26123182042692805,1.300195574035351e-18,3.252606517456513e-17,1.0
circular_hotspot_trajectory,pilot,oracle_known,2,2903837814782815540,0.02232353931232985,0.3828445968933143,0.24109457814898844,0.24109457814898844,2.0227146780433262e-18,3.686287386450715e-17,1.0
circular_hotspot_trajectory,pilot,oracle_known,3,4603759326221825254,0.02431707535765256,0.5220459496672194,0.23705252099125781,0.23705252147918213,1.338311733332953e-18,2.5370330836160804e-17,1.0
circular_hotspot_trajectory,pilot,oracle_known,4,4203717154962743655,0.04133830125872764,0.47939422023603856,0.3583579715283512,0.3583579715283512,4.3260622696164585e-18,6.288372600415926e-17,1.0
circular_hotspot_trajectory,pilot,oracle_known,5,2445782061194557265,0.0575539593388984,0.7117022111750498,0.3216311397523351,0.3216311397523351,4.248700314706846e-18,6.375108774214766e-17,1.0
circular_hotspot_trajectory,pilot,oracle_known,6,444029954697296541,0.08077182130995827,0.4091606507388748,0.20957098907379737,0.20957098907379737,4.092863203758108e-18,3.187554387107383e-17,1.0
circular_hotspot_trajectory,pilot,oracle_known,7,5001347991549469063,0.02379590765475332,0.41918738215676504,0.2853554927438533,0.28535549274385374,9.757819762403263e-19,1.5612511283791264e-17,1.0
