source_class,arm,snr0,epsilon,quantile,L_stable_structure_M,pass_fraction_at_age0,n_truths,noise_semantics,controls_the_claim
L1056,DIRECT_PHYSICAL,100.0,0.25,0.95,0.0,0.020833333333333332,96,truth_mean_noise,False
L1056,DIRECT_PHYSICAL,1000.0,0.25,0.95,0.0,0.052083333333333336,96,truth_mean_noise,False
L1056,RESOLVED_PHYSICAL,100.0,0.25,0.95,0.0,0.010416666666666666,96,truth_mean_noise,False
L1056,RESOLVED_PHYSICAL,1000.0,0.25,0.95,0.0,0.041666666666666664,96,truth_mean_noise,False
L1056,TOTAL_FLUX,100.0,0.25,0.95,0.0,0.0,96,truth_mean_noise,False
L1056,TOTAL_FLUX,1000.0,0.25,0.95,0.0,0.0,96,truth_mean_noise,False
L1056,UNRESOLVED_IMAGE,100.0,0.25,0.95,0.0,0.010416666666666666,96,truth_mean_noise,False
L1056,UNRESOLVED_IMAGE,1000.0,0.25,0.95,0.0,0.041666666666666664,96,truth_mean_noise,False
L224,DIRECT_PHYSICAL,100.0,0.25,0.95,0.0,0.10416666666666667,96,truth_mean_noise,False
L224,DIRECT_PHYSICAL,1000.0,0.25,0.95,0.0,0.11458333333333333,96,truth_mean_noise,False
L224,RESOLVED_PHYSICAL,100.0,0.25,0.95,0.0,0.0625,96,truth_mean_noise,False
L224,RESOLVED_PHYSICAL,1000.0,0.25,0.95,0.0,0.15625,96,truth_mean_noise,False
L224,TOTAL_FLUX,100.0,0.25,0.95,0.0,0.0,96,truth_mean_noise,False
L224,TOTAL_FLUX,1000.0,0.25,0.95,0.0,0.0,96,truth_mean_noise,False
L224,UNRESOLVED_IMAGE,100.0,0.25,0.95,0.0,0.10416666666666667,96,truth_mean_noise,False
L224,UNRESOLVED_IMAGE,1000.0,0.25,0.95,0.0,0.11458333333333333,96,truth_mean_noise,False
L448,DIRECT_PHYSICAL,100.0,0.25,0.95,0.0,0.010416666666666666,96,truth_mean_noise,False
L448,DIRECT_PHYSICAL,1000.0,0.25,0.95,0.0,0.09375,96,truth_mean_noise,False
L448,RESOLVED_PHYSICAL,100.0,0.25,0.95,0.0,0.010416666666666666,96,truth_mean_noise,False
L448,RESOLVED_PHYSICAL,1000.0,0.25,0.95,0.0,0.10416666666666667,96,truth_mean_noise,False
L448,TOTAL_FLUX,100.0,0.25,0.95,0.0,0.0,96,truth_mean_noise,False
L448,TOTAL_FLUX,1000.0,0.25,0.95,0.0,0.0,96,truth_mean_noise,False
L448,UNRESOLVED_IMAGE,100.0,0.25,0.95,0.0,0.010416666666666666,96,truth_mean_noise,False
L448,UNRESOLVED_IMAGE,1000.0,0.25,0.95,0.0,0.10416666666666667,96,truth_mean_noise,False
L1056,DIRECT_PHYSICAL,100.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L1056,DIRECT_PHYSICAL,1000.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L1056,RESOLVED_PHYSICAL,100.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L1056,RESOLVED_PHYSICAL,1000.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L1056,TOTAL_FLUX,100.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L1056,TOTAL_FLUX,1000.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L1056,UNRESOLVED_IMAGE,100.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L1056,UNRESOLVED_IMAGE,1000.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L224,DIRECT_PHYSICAL,100.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L224,DIRECT_PHYSICAL,1000.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L224,RESOLVED_PHYSICAL,100.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L224,RESOLVED_PHYSICAL,1000.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L224,TOTAL_FLUX,100.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L224,TOTAL_FLUX,1000.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L224,UNRESOLVED_IMAGE,100.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L224,UNRESOLVED_IMAGE,1000.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L448,DIRECT_PHYSICAL,100.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L448,DIRECT_PHYSICAL,1000.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L448,RESOLVED_PHYSICAL,100.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L448,RESOLVED_PHYSICAL,1000.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L448,TOTAL_FLUX,100.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L448,TOTAL_FLUX,1000.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L448,UNRESOLVED_IMAGE,100.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
L448,UNRESOLVED_IMAGE,1000.0,0.25,0.95,0.0,0.0,384,joint_truth_noise,True
