source_class,arm,snr0,target_separation_sigma,realized_separation_sigma,relative_error,n_null_directions,delta_is_localized_old_epoch
L224,UNRESOLVED_IMAGE,100.0,2.0,1.9999999999999996,2.220446049250313e-16,26,True
L224,UNRESOLVED_IMAGE,100.0,2.0,2.0,0.0,26,True
L224,UNRESOLVED_IMAGE,100.0,2.0,1.9999999999999993,3.3306690738754696e-16,26,True
L224,UNRESOLVED_IMAGE,100.0,2.0,1.9999999999999998,1.1102230246251565e-16,26,True
L224,UNRESOLVED_IMAGE,100.0,2.0,2.000000000000002,1.1102230246251565e-15,26,True
L224,UNRESOLVED_IMAGE,100.0,2.0,2.000000000000002,1.1102230246251565e-15,26,True
L224,UNRESOLVED_IMAGE,100.0,2.0,2.0000000000000018,8.881784197001252e-16,26,True
L224,UNRESOLVED_IMAGE,100.0,4.0,3.9999999999999996,1.1102230246251565e-16,26,True
L224,UNRESOLVED_IMAGE,100.0,4.0,3.9999999999999973,6.661338147750939e-16,26,True
L224,UNRESOLVED_IMAGE,100.0,4.0,4.000000000000004,1.1102230246251565e-15,26,True
L224,UNRESOLVED_IMAGE,100.0,4.0,4.000000000000004,1.1102230246251565e-15,26,True
L224,UNRESOLVED_IMAGE,100.0,4.0,4.000000000000003,6.661338147750939e-16,26,True
L224,UNRESOLVED_IMAGE,100.0,4.0,4.0000000000000036,8.881784197001252e-16,26,True
L224,UNRESOLVED_IMAGE,100.0,4.0,4.000000000000002,4.440892098500626e-16,26,True
L224,UNRESOLVED_IMAGE,100.0,4.0,4.0000000000000036,8.881784197001252e-16,26,True
L224,TOTAL_FLUX,100.0,0.25,0.24999999999999986,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,0.25,0.24999999999999986,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,0.25,0.24999999999999986,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,0.25,0.24999999999999986,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,0.25,0.24999999999999986,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,0.25,0.24999999999999986,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,0.25,0.24999999999999986,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,0.25,0.24999999999999986,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,0.5,0.4999999999999997,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,0.5,0.4999999999999997,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,0.5,0.4999999999999997,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,0.5,0.4999999999999997,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,0.5,0.4999999999999997,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,0.5,0.4999999999999997,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,0.5,0.4999999999999997,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,0.5,0.4999999999999997,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,1.0,0.9999999999999994,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,1.0,0.9999999999999994,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,1.0,0.9999999999999994,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,1.0,0.9999999999999994,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,1.0,0.9999999999999994,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,1.0,0.9999999999999994,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,1.0,0.9999999999999994,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,1.0,0.9999999999999994,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,2.0,1.999999999999999,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,2.0,1.999999999999999,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,2.0,1.999999999999999,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,2.0,1.999999999999999,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,2.0,1.999999999999999,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,2.0,1.999999999999999,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,2.0,1.999999999999999,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,2.0,1.999999999999999,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,4.0,3.999999999999998,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,4.0,3.999999999999998,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,4.0,3.999999999999998,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,4.0,3.999999999999998,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,4.0,3.999999999999998,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,4.0,3.999999999999998,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,4.0,3.999999999999998,5.551115123125783e-16,1,True
L224,TOTAL_FLUX,100.0,4.0,3.999999999999998,5.551115123125783e-16,1,True
L448,DIRECT_PHYSICAL,100.0,0.25,0.24999999999999978,8.881784197001252e-16,31,False
L448,DIRECT_PHYSICAL,100.0,0.25,0.2499999999999998,7.771561172376096e-16,31,False
L448,DIRECT_PHYSICAL,100.0,0.25,0.24999999999999983,6.661338147750939e-16,31,False
L448,DIRECT_PHYSICAL,100.0,0.25,0.24999999999999997,1.1102230246251565e-16,31,False
L448,DIRECT_PHYSICAL,100.0,0.25,0.24999999999999958,1.6653345369377348e-15,31,False
L448,DIRECT_PHYSICAL,100.0,0.25,0.2500000000000001,4.440892098500626e-16,31,False
L448,DIRECT_PHYSICAL,100.0,0.25,0.24999999999999997,1.1102230246251565e-16,31,False
L448,DIRECT_PHYSICAL,100.0,0.25,0.2499999999999999,4.440892098500626e-16,31,False
L448,DIRECT_PHYSICAL,100.0,0.5,0.4999999999999996,7.771561172376096e-16,31,False
L448,DIRECT_PHYSICAL,100.0,0.5,0.49999999999999956,8.881784197001252e-16,31,False
L448,DIRECT_PHYSICAL,100.0,0.5,0.4999999999999996,7.771561172376096e-16,31,False
L448,DIRECT_PHYSICAL,100.0,0.5,0.4999999999999997,5.551115123125783e-16,31,False
L448,DIRECT_PHYSICAL,100.0,0.5,0.5000000000000002,4.440892098500626e-16,31,False
L448,DIRECT_PHYSICAL,100.0,0.5,0.5,0.0,31,False
L448,DIRECT_PHYSICAL,100.0,0.5,0.49999999999999983,3.3306690738754696e-16,31,False
L448,DIRECT_PHYSICAL,100.0,0.5,0.4999999999999996,7.771561172376096e-16,31,False
L448,DIRECT_PHYSICAL,100.0,1.0,0.9999999999999997,3.3306690738754696e-16,31,False
L448,DIRECT_PHYSICAL,100.0,1.0,1.0000000000000004,4.440892098500626e-16,31,False
L448,DIRECT_PHYSICAL,100.0,1.0,1.0000000000000002,2.220446049250313e-16,31,False
L448,DIRECT_PHYSICAL,100.0,1.0,0.9999999999999992,7.771561172376096e-16,31,False
L448,DIRECT_PHYSICAL,100.0,1.0,0.9999999999999986,1.4432899320127035e-15,31,False
L448,DIRECT_PHYSICAL,100.0,1.0,0.9999999999999981,1.887379141862766e-15,31,False
L448,DIRECT_PHYSICAL,100.0,1.0,1.0,0.0,31,False
L448,DIRECT_PHYSICAL,100.0,1.0,0.9999999999999987,1.3322676295501878e-15,31,False
L448,DIRECT_PHYSICAL,100.0,2.0,1.9999999999999998,1.1102230246251565e-16,31,False
L448,DIRECT_PHYSICAL,100.0,2.0,1.9999999999999987,6.661338147750939e-16,31,False
L448,DIRECT_PHYSICAL,100.0,2.0,1.9999999999999984,7.771561172376096e-16,31,False
L448,DIRECT_PHYSICAL,100.0,2.0,2.0,0.0,31,False
L448,DIRECT_PHYSICAL,100.0,2.0,1.9999999999999998,1.1102230246251565e-16,31,False
L448,DIRECT_PHYSICAL,100.0,2.0,1.999999999999999,5.551115123125783e-16,31,False
L448,DIRECT_PHYSICAL,100.0,2.0,1.999999999999999,5.551115123125783e-16,31,False
L448,DIRECT_PHYSICAL,100.0,2.0,1.9999999999999991,4.440892098500626e-16,31,False
L448,DIRECT_PHYSICAL,100.0,4.0,3.9999999999999987,3.3306690738754696e-16,31,False
L448,DIRECT_PHYSICAL,100.0,4.0,4.000000000000001,2.220446049250313e-16,31,False
L448,DIRECT_PHYSICAL,100.0,4.0,4.0,0.0,31,False
L448,DIRECT_PHYSICAL,100.0,4.0,3.999999999999999,2.220446049250313e-16,31,False
L448,DIRECT_PHYSICAL,100.0,4.0,3.999999999999995,1.2212453270876722e-15,31,False
L448,DIRECT_PHYSICAL,100.0,4.0,4.000000000000002,4.440892098500626e-16,31,False
L448,DIRECT_PHYSICAL,100.0,4.0,3.999999999999998,5.551115123125783e-16,31,False
L448,DIRECT_PHYSICAL,100.0,4.0,3.999999999999997,7.771561172376096e-16,31,False
L448,RESOLVED_PHYSICAL,100.0,0.25,0.25,0.0,50,True
L448,RESOLVED_PHYSICAL,100.0,0.25,0.25000000000000017,6.661338147750939e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,0.25,0.25000000000000006,2.220446049250313e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,0.25,0.25000000000000006,2.220446049250313e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,0.25,0.2500000000000002,8.881784197001252e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,0.25,0.25,0.0,50,True
L448,RESOLVED_PHYSICAL,100.0,0.25,0.25000000000000006,2.220446049250313e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,0.25,0.25,0.0,50,True
L448,RESOLVED_PHYSICAL,100.0,0.5,0.5000000000000002,4.440892098500626e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,0.5,0.49999999999999967,6.661338147750939e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,0.5,0.5,0.0,50,True
L448,RESOLVED_PHYSICAL,100.0,0.5,0.5000000000000002,4.440892098500626e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,0.5,0.5000000000000001,2.220446049250313e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,0.5,0.4999999999999998,4.440892098500626e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,0.5,0.5000000000000001,2.220446049250313e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,0.5,0.5000000000000001,2.220446049250313e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,1.0,0.999999999999999,9.992007221626409e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,1.0,0.9999999999999998,2.220446049250313e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,1.0,0.9999999999999994,5.551115123125783e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,1.0,1.0000000000000004,4.440892098500626e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,1.0,0.9999999999999998,2.220446049250313e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,1.0,0.9999999999999994,5.551115123125783e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,1.0,1.0000000000000009,8.881784197001252e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,1.0,1.0000000000000007,6.661338147750939e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,2.0,1.9999999999999987,6.661338147750939e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,2.0,2.0000000000000027,1.3322676295501878e-15,50,True
L448,RESOLVED_PHYSICAL,100.0,2.0,2.0000000000000013,6.661338147750939e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,2.0,2.0000000000000004,2.220446049250313e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,2.0,2.0000000000000013,6.661338147750939e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,2.0,2.0000000000000004,2.220446049250313e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,2.0,1.9999999999999984,7.771561172376096e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,2.0,2.0000000000000027,1.3322676295501878e-15,50,True
L448,RESOLVED_PHYSICAL,100.0,4.0,3.999999999999998,5.551115123125783e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,4.0,3.9999999999999987,3.3306690738754696e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,4.0,4.0,0.0,50,True
L448,RESOLVED_PHYSICAL,100.0,4.0,3.999999999999998,5.551115123125783e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,4.0,3.9999999999999996,1.1102230246251565e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,4.0,4.0,0.0,50,True
L448,RESOLVED_PHYSICAL,100.0,4.0,4.0000000000000036,8.881784197001252e-16,50,True
L448,RESOLVED_PHYSICAL,100.0,4.0,3.9999999999999964,8.881784197001252e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,0.25,0.24999999999999975,9.992007221626409e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,0.25,0.25000000000000006,2.220446049250313e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,0.25,0.25000000000000017,6.661338147750939e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,0.25,0.2500000000000002,8.881784197001252e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,0.25,0.24999999999999986,5.551115123125783e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,0.25,0.25,0.0,50,True
L448,UNRESOLVED_IMAGE,100.0,0.25,0.24999999999999994,2.220446049250313e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,0.25,0.25,0.0,50,True
L448,UNRESOLVED_IMAGE,100.0,0.5,0.5000000000000007,1.3322676295501878e-15,50,True
L448,UNRESOLVED_IMAGE,100.0,0.5,0.5000000000000003,6.661338147750939e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,0.5,0.5000000000000004,8.881784197001252e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,0.5,0.5000000000000006,1.1102230246251565e-15,50,True
L448,UNRESOLVED_IMAGE,100.0,0.5,0.5000000000000006,1.1102230246251565e-15,50,True
L448,UNRESOLVED_IMAGE,100.0,0.5,0.5000000000000002,4.440892098500626e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,0.5,0.5000000000000003,6.661338147750939e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,0.5,0.5000000000000002,4.440892098500626e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,1.0,0.9999999999999999,1.1102230246251565e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,1.0,1.0000000000000004,4.440892098500626e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,1.0,1.0000000000000013,1.3322676295501878e-15,50,True
L448,UNRESOLVED_IMAGE,100.0,1.0,1.0000000000000004,4.440892098500626e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,1.0,0.9999999999999996,4.440892098500626e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,1.0,1.0000000000000009,8.881784197001252e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,1.0,0.9999999999999993,6.661338147750939e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,1.0,1.0000000000000002,2.220446049250313e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,2.0,2.000000000000001,4.440892098500626e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,2.0,2.0000000000000004,2.220446049250313e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,2.0,2.0000000000000013,6.661338147750939e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,2.0,2.0000000000000018,8.881784197001252e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,2.0,2.000000000000001,4.440892098500626e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,2.0,1.9999999999999991,4.440892098500626e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,2.0,2.0000000000000004,2.220446049250313e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,2.0,2.0000000000000004,2.220446049250313e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,4.0,3.9999999999999987,3.3306690738754696e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,4.0,3.9999999999999987,3.3306690738754696e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,4.0,4.0000000000000036,8.881784197001252e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,4.0,4.000000000000001,2.220446049250313e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,4.0,3.9999999999999996,1.1102230246251565e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,4.0,3.999999999999999,2.220446049250313e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,4.0,3.9999999999999996,1.1102230246251565e-16,50,True
L448,UNRESOLVED_IMAGE,100.0,4.0,4.000000000000001,2.220446049250313e-16,50,True
L448,TOTAL_FLUX,100.0,0.25,0.24999999999999986,5.551115123125783e-16,1,True
L448,TOTAL_FLUX,100.0,0.25,0.24999999999999986,5.551115123125783e-16,1,True
L448,TOTAL_FLUX,100.0,0.25,0.24999999999999986,5.551115123125783e-16,1,True
L448,TOTAL_FLUX,100.0,0.25,0.24999999999999986,5.551115123125783e-16,1,True
L448,TOTAL_FLUX,100.0,0.25,0.24999999999999986,5.551115123125783e-16,1,True
L448,TOTAL_FLUX,100.0,0.25,0.24999999999999986,5.551115123125783e-16,1,True
